user_id_id	last_sub	total_points	rank	tries
facebook|1744737305538436	2017-10-01 14:39:08.354119	0	460	510510
facebook|1768501013455049	2017-10-04 18:37:46.565657	0	567	510510
facebook|1802255179802594	2017-10-05 04:47:09.424202	0	572	510510
facebook|1804815382880354	2017-09-25 18:58:17.915735	0	170	510510
facebook|1807253429304856	2017-10-09 04:11:34.620275	0	600	510510
facebook|1825526464128680	2017-10-02 15:21:40.309890	0	489	510510
facebook|1832385130112513	2017-09-25 13:52:26.857942	0	64	510510
facebook|1858332340859902	2017-09-27 16:23:39.973212	0	305	510510
facebook|1875400232470212	2017-09-28 08:44:44.557306	0	334	510510
facebook|1908985626017955	2017-10-06 20:21:51.299318	0	589	510510
facebook|1921965331375867	2017-09-25 13:50:34.313419	0	62	510510
facebook|1925165051071103	2017-09-26 08:18:10.060651	0	197	510510
facebook|1937898669560643	2017-09-25 13:58:59.122519	0	72	510510
facebook|1939338482998269	2017-09-26 18:41:26.896663	0	253	510510
facebook|1946812582233770	2017-10-04 15:26:55.061760	0	554	510510
facebook|1949401701985229	2017-09-25 14:53:50.777879	0	103	510510
facebook|1960284990895533	2017-09-26 14:38:54.683296	0	229	510510
facebook|1970877116567436	2017-09-28 11:49:41.459085	0	336	510510
facebook|1971537616459372	2017-09-30 14:05:47.787888	0	436	510510
facebook|1974586952755961	2017-09-27 15:13:44.518793	0	290	510510
facebook|1983756911836725	2017-09-30 11:43:15.746708	0	430	510510
facebook|1984709251814216	2017-09-25 18:39:52.444219	0	167	510510
facebook|199842500554664	2017-09-27 08:59:34.281414	0	270	510510
facebook|2016228511969229	2017-09-30 17:29:17.781800	0	444	510510
facebook|2069367973088868	2017-10-03 03:51:17.141747	0	504	510510
facebook|2076893435669921	2017-09-27 04:17:48.836426	0	262	510510
facebook|209502486255438	2017-09-25 15:09:26.614261	0	114	510510
facebook|311393545996017	2017-10-05 09:26:01.056380	0	575	510510
facebook|338728349888666	2017-09-28 18:01:12.886042	0	363	510510
facebook|513475185655088	2017-09-29 04:23:23.678558	0	374	510510
facebook|694694240735318	2017-10-07 07:36:54.148773	0	591	510510
facebook|701270510058959	2017-09-29 18:01:42.931062	0	412	510510
facebook|707138046148313	2017-09-25 14:10:04.435310	100	10	170170
